time,temperature_2m_mean,precipitation_sum,city,year
2014-01-01,13.2,0.0,Delhi,2014
2014-01-02,11.1,0.0,Delhi,2014
2014-01-03,11.3,0.0,Delhi,2014
2014-01-04,13.5,0.0,Delhi,2014
2014-01-05,12.7,0.0,Delhi,2014
2014-01-06,11.2,0.0,Delhi,2014
2014-01-07,12.2,0.0,Delhi,2014
2014-01-08,11.6,0.0,Delhi,2014
2014-01-09,12.2,0.0,Delhi,2014
2014-01-10,12.4,0.0,Delhi,2014
2014-01-11,12.4,0.0,Delhi,2014
2014-01-12,12.8,0.0,Delhi,2014
2014-01-13,12.8,0.0,Delhi,2014
2014-01-14,13.4,0.0,Delhi,2014
2014-01-15,13.1,0.0,Delhi,2014
2014-01-16,12.6,0.0,Delhi,2014
2014-01-17,13.9,8.3,Delhi,2014
2014-01-18,13.8,19.1,Delhi,2014
2014-01-19,13.4,0.0,Delhi,2014
2014-01-20,13.2,0.0,Delhi,2014
2014-01-21,13.6,22.4,Delhi,2014
2014-01-22,14.0,4.3,Delhi,2014
2014-01-23,14.6,0.0,Delhi,2014
2014-01-24,14.3,0.0,Delhi,2014
2014-01-25,12.9,0.0,Delhi,2014
2014-01-26,14.2,0.0,Delhi,2014
2014-01-27,14.7,0.0,Delhi,2014
2014-01-28,15.3,0.0,Delhi,2014
2014-01-29,15.5,0.0,Delhi,2014
2014-01-30,15.0,0.0,Delhi,2014
2014-01-31,13.7,0.0,Delhi,2014
2014-02-01,13.6,0.0,Delhi,2014
2014-02-02,14.3,0.0,Delhi,2014
2014-02-03,16.8,0.0,Delhi,2014
2014-02-04,17.1,0.0,Delhi,2014
2014-02-05,16.1,0.4,Delhi,2014
2014-02-06,16.9,1.3,Delhi,2014
2014-02-07,17.5,0.4,Delhi,2014
2014-02-08,15.0,0.0,Delhi,2014
2014-02-09,12.6,0.0,Delhi,2014
2014-02-10,12.1,0.0,Delhi,2014
2014-02-11,12.6,0.0,Delhi,2014
2014-02-12,12.8,0.0,Delhi,2014
2014-02-13,13.0,1.0,Delhi,2014
2014-02-14,13.5,14.7,Delhi,2014
2014-02-15,13.7,0.2,Delhi,2014
2014-02-16,12.0,0.0,Delhi,2014
2014-02-17,13.5,0.0,Delhi,2014
2014-02-18,14.8,0.0,Delhi,2014
2014-02-19,14.8,0.0,Delhi,2014
2014-02-20,15.2,0.0,Delhi,2014
2014-02-21,15.9,0.0,Delhi,2014
2014-02-22,16.3,0.5,Delhi,2014
2014-02-23,15.4,0.0,Delhi,2014
2014-02-24,15.8,0.0,Delhi,2014
2014-02-25,16.5,0.0,Delhi,2014
2014-02-26,17.2,0.3,Delhi,2014
2014-02-27,16.7,4.4,Delhi,2014
2014-02-28,16.0,8.2,Delhi,2014
2014-03-01,14.7,2.0,Delhi,2014
2014-03-02,14.5,0.0,Delhi,2014
2014-03-03,15.9,0.0,Delhi,2014
2014-03-04,17.4,0.0,Delhi,2014
2014-03-05,17.3,1.7,Delhi,2014
2014-03-06,16.9,0.0,Delhi,2014
2014-03-07,16.9,0.0,Delhi,2014
2014-03-08,18.2,0.0,Delhi,2014
2014-03-09,19.2,0.7,Delhi,2014
2014-03-10,20.0,0.4,Delhi,2014
2014-03-11,19.1,17.2,Delhi,2014
2014-03-12,18.7,10.6,Delhi,2014
2014-03-13,18.1,0.0,Delhi,2014
2014-03-14,18.2,0.0,Delhi,2014
2014-03-15,19.7,0.0,Delhi,2014
2014-03-16,21.4,0.0,Delhi,2014
2014-03-17,23.3,0.0,Delhi,2014
2014-03-18,23.1,0.5,Delhi,2014
2014-03-19,20.8,0.0,Delhi,2014
2014-03-20,20.4,0.0,Delhi,2014
2014-03-21,22.7,0.3,Delhi,2014
2014-03-22,23.1,0.0,Delhi,2014
2014-03-23,21.0,0.4,Delhi,2014
2014-03-24,22.5,1.1,Delhi,2014
2014-03-25,23.7,0.2,Delhi,2014
2014-03-26,23.7,0.1,Delhi,2014
2014-03-27,23.6,0.0,Delhi,2014
2014-03-28,23.3,0.4,Delhi,2014
2014-03-29,24.3,0.0,Delhi,2014
2014-03-30,23.4,0.0,Delhi,2014
2014-03-31,23.2,0.0,Delhi,2014
2014-04-01,23.7,0.0,Delhi,2014
2014-04-02,24.5,1.5,Delhi,2014
2014-04-03,23.9,0.0,Delhi,2014
2014-04-04,24.6,0.0,Delhi,2014
2014-04-05,26.1,0.0,Delhi,2014
2014-04-06,27.7,0.0,Delhi,2014
2014-04-07,27.0,0.1,Delhi,2014
2014-04-08,24.5,0.0,Delhi,2014
2014-04-09,24.9,0.0,Delhi,2014
2014-04-10,25.6,0.0,Delhi,2014
